,t,Y_t,mov_tot_12,mov_tot_2y,mov_avg_12_center,S_idx
0,0,154.0,,,,
1,1,96.0,,,,
2,2,73.0,,,,
3,3,49.0,,,,
4,4,36.0,,,,
5,5,59.0,1762.0,,,
6,6,95.0,1808.0,3570.0,148.75,0.6386554621848739
7,7,169.0,1830.0,3638.0,151.58333333333334,1.114898295766905
8,8,210.0,1847.0,3677.0,153.20833333333334,1.3706826217024748
9,9,278.0,1877.0,3724.0,155.16666666666666,1.791621911922664
10,10,298.0,1919.0,3796.0,158.16666666666666,1.8840885142255006
11,11,245.0,1951.0,3870.0,161.25,1.5193798449612403
12,12,200.0,2023.0,3974.0,165.58333333333334,1.2078510317060895
13,13,118.0,2023.0,4046.0,168.58333333333334,0.6999505684626791
14,14,90.0,2102.0,4125.0,171.875,0.5236363636363637
15,15,79.0,2171.0,4273.0,178.04166666666666,0.4437163585303066
16,16,78.0,2248.0,4419.0,184.125,0.42362525458248473
17,17,91.0,2206.0,4454.0,185.58333333333334,0.49034575662325997
18,18,167.0,2229.0,4435.0,184.79166666666666,0.9037204058624577
19,19,169.0,2215.0,4444.0,185.16666666666666,0.9126912691269128
20,20,289.0,2232.0,4447.0,185.29166666666666,1.559703170676861
21,21,347.0,2238.0,4470.0,186.25,1.8630872483221477
22,22,375.0,2235.0,4473.0,186.375,2.0120724346076457
23,23,203.0,2243.0,4478.0,186.58333333333334,1.0879857079053148
24,24,223.0,2211.0,4454.0,185.58333333333334,1.2016165244723842
25,25,104.0,2253.0,4464.0,186.0,0.5591397849462365
26,26,107.0,2299.0,4552.0,189.66666666666666,0.5641476274165202
27,27,85.0,2412.0,4711.0,196.29166666666666,0.43302908087454894
28,28,75.0,2525.0,4937.0,205.70833333333334,0.3645938829248531
29,29,99.0,2648.0,5173.0,215.54166666666666,0.4593079450995554
30,30,135.0,2771.0,5419.0,225.79166666666666,0.5978962908285662
31,31,211.0,2928.0,5699.0,237.45833333333334,0.88857694332339
32,32,335.0,3045.0,5973.0,248.875,1.3460572576594676
33,33,460.0,3101.0,6146.0,256.0833333333333,1.7962902700943704
34,34,488.0,3174.0,6275.0,261.4583333333333,1.8664541832669324
35,35,326.0,3220.0,6394.0,266.4166666666667,1.2236471692211448
36,36,346.0,3308.0,6528.0,272.0,1.2720588235294117
37,37,261.0,3369.0,6677.0,278.2083333333333,0.9381458738954621
38,38,224.0,3479.0,6848.0,285.3333333333333,0.7850467289719627
39,39,141.0,3579.0,7058.0,294.0833333333333,0.47945593652592805
40,40,148.0,3703.0,7282.0,303.4166666666667,0.48777808294424607
41,41,145.0,3844.0,7547.0,314.4583333333333,0.46111037498343715
42,42,223.0,4016.0,7860.0,327.5,0.6809160305343511
43,43,272.0,4159.0,8175.0,340.625,0.7985321100917431
44,44,445.0,4235.0,8394.0,349.75,1.272337383845604
45,45,560.0,4304.0,8539.0,355.7916666666667,1.5739547956435178
46,46,612.0,4352.0,8656.0,360.6666666666667,1.6968576709796672
47,47,467.0,4393.0,8745.0,364.375,1.2816466552315608
48,48,518.0,4417.0,8810.0,367.0833333333333,1.4111237230419977
49,49,404.0,4488.0,8905.0,371.0416666666667,1.088826501965188
50,50,300.0,4507.0,8995.0,374.7916666666667,0.8004446914952751
51,51,210.0,4627.0,9134.0,380.5833333333333,0.5517845412743596
52,52,196.0,4726.0,9353.0,389.7083333333333,0.5029402330802951
53,53,186.0,4869.0,9595.0,399.7916666666667,0.4652423137050547
54,54,247.0,4964.0,9833.0,409.7083333333333,0.6028678938269094
55,55,343.0,4952.0,9916.0,413.1666666666667,0.8301734570391286
56,56,464.0,4925.0,9877.0,411.5416666666667,1.127467854611724
57,57,680.0,5037.0,9962.0,415.0833333333333,1.6382252559726964
58,58,711.0,5030.0,10067.0,419.4583333333333,1.695043210489719
59,59,610.0,5101.0,10131.0,422.125,1.445069588392064
60,60,613.0,5178.0,10279.0,428.2916666666667,1.4312676330382332
61,61,392.0,5239.0,10417.0,434.0416666666667,0.9031390995488144
62,62,273.0,5452.0,10691.0,445.4583333333333,0.6128519315311944
63,63,322.0,5630.0,11082.0,461.75,0.697347049269085
64,64,189.0,5814.0,11444.0,476.8333333333333,0.3963649073750437
65,65,257.0,5868.0,11682.0,486.75,0.5279917822290704
66,66,324.0,5883.0,11751.0,489.625,0.6617309165177432
67,67,404.0,5799.0,11682.0,486.75,0.829994863893169
68,68,677.0,5850.0,11649.0,485.375,1.3947978367241822
69,69,858.0,5776.0,11626.0,484.4166666666667,1.7712024772062618
70,70,895.0,5859.0,11635.0,484.7916666666667,1.846153846153846
71,71,664.0,,,,
72,72,628.0,,,,
73,73,308.0,,,,
74,74,324.0,,,,
75,75,248.0,,,,
76,76,272.0,,,,
77,77,,,,,
78,78,,,,,
79,79,,,,,
80,80,,,,,
81,81,,,,,
82,82,,,,,
83,83,,,,,
